date,ID,Day,T_T_TIME,T_TOTAL_DISTANCE,T_HIGH_INTENSITY_DISTANCE,T_SPRINT_DISTANCE,T_PLAYER_LOAD,T_HEART_RATE_EXERTION,T_ACC_DEC_LOAD,T_PEAK_SPEED,T_HRE_PL_LOAD,T_VOLUME_STATUS,T_INTENSITY_STATUS,T_VOLUME_RATIO,T_INTENSITY_RATIO,T_MONOTONY_VOLUME,T_MONOTONY_INTENSITY,Game,Result,Game_and_Result,Scorers,G_HI_IP_m,G_HI_IP_m_pc,G_HI_IP_m_min,G_HI_OP_m,G_HI_OP_m_pc,G_HI_OP_m_min,G_HID_m,G_HID_m_min,G_IP_mins,G_MINS,G_OP_mins,G_SPR_m,G_SPR_m_min,G_TD_m,G_TD_m_min,G_TD_IP_m,G_TD_IP_m_pc,G_TD_IP_m_min,G_TD_OP_m,G_TD_OP_m_pc,G_TD_OP_m_min,matchPeriods,GameYN,NDs,sleep,muscleSoreness,pExertion,wellbeing,ACUTE_LOAD,CHRONIC_LOAD,SQUAD_LOAD
29/07/2014,10,30,0,0,0,0,0,0,0,0,0,23,28,64,0.9,0.6,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5.8,9,5,9.343461255,171,217,207
30/07/2014,10,31,0,0,0,0,0,0,0,0,0,23,28,24,0,0.6,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4.01,6,4,8.447346139,171,217,278
31/07/2014,10,32,0,0,0,0,0,0,0,0,0,15,24,0,0,0.6,0.4,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6.09,7,5,15.20667756,171,217,233
01/08/2014,10,33,0,0,0,0,0,0,0,0,0,15,24,0,0,0.4,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5.13,5,7,12.88940313,64,217,226
02/08/2014,10,34,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5.68,1,9,12.8923779,0,217,228
03/08/2014,10,35,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4.63,1,2,13.88524821,0,217,285
04/08/2014,10,36,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2.68,3,6,13.26405973,0,193,309
05/08/2014,10,37,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6.02,2,2,17.10201122,0,171,332
06/08/2014,10,38,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,6.09,6,4,13.67081615,0,171,263
07/08/2014,10,39,0,0,0,0,0,0,0,0,0,15,24,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5.35,4,7,14.55501482,0,146,270
08/08/2014,10,40,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5.08,9,8,16.78634592,0,121,307
09/08/2014,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,6.74,3,6,13.21821298,0,121,311
10/08/2014,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,6.25,7,9,15.59629179,0,100,253
11/08/2014,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5.97,1,7,13.29996537,0,82,234
12/08/2014,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,6.77,8,9,13.14323227,0,62,239
13/08/2014,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5.63,6,5,11.3246958,0,62,332
14/08/2014,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6.23,6,7,10.32213838,0,42,320
15/08/2014,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5.24,2,9,15.1139255,0,42,308
16/08/2014,10,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,6.33,1,6,14.15401206,0,42,293
17/08/2014,10,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MANCHESTER CITY_H_League,L 0-2,MANCHESTER CITY_H_League L 0-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48,5.99,9,6,8.945899001,0,42,293
18/08/2014,10,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.08,8,3,12.08042112,0,42,315
19/08/2014,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4.27,8,4,11.45856645,0,42,291
20/08/2014,10,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6.93,9,1,11.8642248,0,42,196
21/08/2014,10,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6.26,5,1,12.65644394,0,42,275
22/08/2014,10,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4.77,5,9,8.837857314,0,16,249
23/08/2014,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ASTON VILLA_A_League,D 0-0,ASTON VILLA_A_League D 0-0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,7.44,4,8,11.50244149,0,0,204
24/08/2014,10,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5.92,6,3,14.03478917,0,0,217
25/08/2014,10,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6.61,5,3,12.46709985,0,0,245
26/08/2014,10,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6.94,2,4,16.14917023,0,0,195
27/08/2014,10,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4.51,2,2,15.05990152,0,0,208
28/08/2014,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,8.6,4,8,7.685613334,0,0,191
29/08/2014,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,6.98,4,2,13.13391208,0,0,202
30/08/2014,10,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CRYSTAL PALACE_H_League,D 3-3,CRYSTAL PALACE_H_League D 3-3,Janmaat 37; Aarons 72; Williamson 87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,4.4,1,5,12.41297,0,0,214
31/08/2014,10,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6.2,8,8,14.9689989,0,0,201
01/09/2014,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,6.53,5,4,12.40485994,0,0,150
02/09/2014,10,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4.72,9,3,8.380309592,0,0,202
03/09/2014,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4.65,8,6,11.98459853,0,0,209
04/09/2014,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8.2,8,1,10.27726189,0,0,187
05/09/2014,10,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,2.61,6,1,17.41046216,0,0,128
06/09/2014,10,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,6.23,7,1,11.78003145,0,0,115
07/09/2014,10,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,6.2,9,8,12.66159579,0,0,115
08/09/2014,10,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,5.57,6,8,12.37191913,0,0,151
09/09/2014,10,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5.82,5,1,11.00121171,0,0,142
10/09/2014,10,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHAMPTON_A_League,L 0-4,SOUTHAMPTON_A_League L 0-4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,7.87,8,9,9.613549709,0,0,122
